"Source:","C:\Users\frems\Documents\GitHub\impara-giocando\2022-09-26_termostato_kicad6\termostato_kicad6\termostato_kicad6.kicad_sch"
"Date:","19/03/2023 22:07:21"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","100n","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"D1, ","1","1N4004","D","Diode_THT:D_A-405_P10.16mm_Horizontal","Diode",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","MountingHole:MountingHole_4.3mm_M4","Mounting Hole without connection",""
"K1, ","1","SRD-05VDC-SL-C","SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","Sanyo SRD relay, Single Pole Miniature Power Relay,",""
"Q1, ","1","BC337","BC337","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.8A Ic, 45V Vce, NPN Transistor, TO-92",""
"R1, R2, ","2","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, ","1","1M","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R4, ","1","POT 10K","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","Trim-potentiometer",""
"R5, ","1","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"TH1, ","1","Thermistor_NTC","Thermistor_NTC","Capacitor_THT:C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02","Temperature dependent resistor, negative temperature coefficient",""
"U1, ","1","MCP6002-xP","MCP6002-xP","Package_DIP:DIP-8_W7.62mm_LongPads","1MHz, Low-Power Op Amp, DIP-8",""
"X1, ","1","Power 5V","Conn_01x02","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"X2, ","1","OUT","Conn_01x03","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
